,ct_num,dt_num,cc_t_num,cc_i_num,ac_num,dc_num,apk_num,dpk_num,Total
2.0.0,0,0,0,0,2,0,0,0,2
2.1.0,0,0,0,0,8,0,0,0,8
2.2.0,0,0,0,0,3,0,0,0,3
2.3.0,0,0,0,0,0,0,0,0,0
2.4.0,1,0,0,0,0,0,0,0,1
2.5.0,0,0,0,0,0,0,0,0,0
2.6.0,0,0,0,0,0,0,0,0,0
Total,1,0,0,0,13,0,0,0,14
